aggregation_level,take_count,total_frames,evaluated_frames,gesture_frames,no_gesture_frames,no_hand_frames,unannotated_frames,gesture_fraction,no_gesture_fraction,no_hand_fraction,gesture_duration_frames_mean,gesture_duration_frames_median,gesture_duration_frames_std,gesture_duration_frames_q1,gesture_duration_frames_q3,gesture_duration_frames_min,gesture_duration_frames_max,gesture_duration_s_mean,gesture_duration_s_median,gesture_duration_s_std,gesture_duration_s_q1,gesture_duration_s_q3,gesture_duration_s_min,gesture_duration_s_max,public_subject_id,background,gesture_id
subject_gesture,30,4955,4955,1651,3304,0,0,0.33319878910191725,0.6668012108980828,0.0,55.03333333333333,54.5,9.753808569435604,49.0,59.5,39.0,80.0,2.7516666666666665,2.725,0.4876904284717801,2.45,2.975,1.95,4.0,P02,,R
subject_gesture,30,4854,4854,1608,3246,0,0,0.33127317676143386,0.6687268232385661,0.0,53.6,56.5,13.634641479549877,50.0,61.75,21.0,78.0,2.6800000000000006,2.825,0.6817320739774938,2.5,3.0875,1.05,3.9,P02,,S
subject_gesture,30,4880,4880,1839,3041,0,0,0.37684426229508194,0.6231557377049181,0.0,61.3,60.0,9.653121703401945,56.0,66.75,47.0,87.0,3.0649999999999995,3.0,0.4826560851700972,2.8,3.3375,2.35,4.35,P02,,T
subject_gesture,30,4711,4711,1609,3100,2,0,0.3415410740819359,0.6580343876034812,0.0004245383145828911,53.63333333333333,49.0,12.505125385998344,45.25,60.75,38.0,92.0,2.6816666666666666,2.45,0.6252562692999172,2.2625,3.0374999999999996,1.9,4.6,P02,,U
subject_gesture,30,4999,4999,1884,3115,0,0,0.376875375075015,0.623124624924985,0.0,62.8,62.5,8.615943521090461,57.5,68.75,44.0,81.0,3.1399999999999997,3.125,0.43079717605452306,2.875,3.4375,2.2,4.05,P02,,V
subject_gesture,30,4891,4891,1681,3209,1,0,0.3436924964219996,0.6561030464117767,0.00020445716622367614,56.03333333333333,55.5,8.853144126215287,51.0,58.75,36.0,77.0,2.8016666666666667,2.775,0.44265720631076433,2.55,2.9375,1.8,3.85,P02,,W
subject_gesture,30,4906,4906,1756,3150,0,0,0.3579290664492458,0.6420709335507542,0.0,58.53333333333333,57.5,11.122308534042597,51.0,67.0,39.0,90.0,2.9266666666666667,2.875,0.5561154267021299,2.55,3.35,1.95,4.5,P02,,Y
subject_gesture,30,4999,4999,1531,3452,16,0,0.3062612522504501,0.6905381076215243,0.003200640128025605,51.03333333333333,51.0,8.159966756749954,48.25,54.0,26.0,69.0,2.5516666666666667,2.55,0.4079983378374977,2.4125,2.7,1.3,3.45,P03,,A
subject_gesture,30,5026,5026,1449,3536,41,0,0.2883008356545961,0.703541583764425,0.00815758058097891,48.3,48.0,8.518337218349439,42.0,56.25,33.0,63.0,2.415,2.4,0.42591686091747194,2.1,2.8125,1.65,3.15,P03,,B
subject_gesture,30,5043,5043,1542,3492,9,0,0.3057703747769185,0.6924449732302201,0.001784651992861392,51.4,51.5,8.6167439245964,46.25,57.0,28.0,67.0,2.5700000000000003,2.575,0.43083719622982003,2.3125,2.85,1.4,3.35,P03,,C
subject_gesture,30,5042,5042,1538,3494,10,0,0.3050376834589449,0.6929789765965887,0.0019833399444664813,51.266666666666666,53.0,7.519782339721117,45.25,56.5,33.0,66.0,2.5633333333333326,2.65,0.37598911698605586,2.2625,2.825,1.65,3.3,P03,,E
subject_gesture,30,5027,5027,1552,3473,2,0,0.30873284264969164,0.6908693057489557,0.00039785160135269546,51.733333333333334,51.5,7.7233784519887205,47.0,58.25,38.0,66.0,2.586666666666667,2.575,0.386168922599436,2.35,2.9125,1.9,3.3,P03,,I
subject_gesture,30,5020,5020,1511,3509,0,0,0.30099601593625497,0.699003984063745,0.0,50.36666666666667,50.5,6.440621801922722,46.25,53.75,37.0,67.0,2.518333333333333,2.525,0.3220310900961362,2.3125,2.6875,1.85,3.35,P03,,L
subject_gesture,30,5051,5051,1504,3539,8,0,0.2977628192437141,0.7006533359730747,0.0015838447832112453,50.13333333333333,49.0,8.696940933983363,43.5,54.75,34.0,69.0,2.506666666666667,2.45,0.43484704669916807,2.175,2.7375,1.7,3.45,P03,,M
subject_gesture,30,5050,5050,1526,3523,1,0,0.30217821782178217,0.6976237623762376,0.00019801980198019803,50.86666666666667,50.0,8.83071963066444,46.5,55.0,33.0,73.0,2.5433333333333334,2.5,0.441535981533222,2.3249999999999997,2.75,1.65,3.65,P03,,N
subject_gesture,30,5071,5071,1481,3590,0,0,0.29205284953658056,0.7079471504634195,0.0,49.36666666666667,50.0,7.024505545653698,44.25,54.75,35.0,66.0,2.4683333333333333,2.5,0.3512252772826848,2.2125000000000004,2.7375,1.75,3.3,P03,,O
